A,B,Addition,Subtraction,Multiplication,Division,Sin(Addition),Cos(Addition),Sqrt(Addition),2^Addition,Log(Addition),ODD_OR_EVEN(CEIL(A+B))
-5.2,-6.18,-11.38,0.98,32.14,0.84,0.93,0.38,-1.00,0.00,-1.00,Odd
1.5,3.03,4.53,-1.53,4.55,0.50,-0.98,-0.18,2.13,23.10,0.66,Odd
-1.99,8.27,6.28,-10.26,-16.46,-0.24,0.00,1.00,2.51,77.71,0.80,Odd
8.82,0.53,9.35,8.29,4.67,16.64,0.07,-1.00,3.06,652.58,0.97,Even
0.72,-8.72,-8.00,9.44,-6.28,-0.08,-0.99,-0.15,-1.00,0.00,-1.00,Even
-0.63,2.18,1.55,-2.81,-1.37,-0.29,1.00,0.02,1.24,2.93,0.19,Even
5.5,-1.82,3.68,7.32,-10.01,-3.02,-0.51,-0.86,1.92,12.82,0.57,Even
7.81,-3.03,4.78,10.84,-23.66,-2.58,-1.00,0.07,2.19,27.47,0.68,Odd
4.81,-3.15,1.66,7.96,-15.15,-1.53,1.00,-0.09,1.29,3.16,0.22,Even
-0.18,7.61,7.43,-7.79,-1.37,-0.02,0.91,0.41,2.73,172.45,0.87,Even
1.98,3.27,5.25,-1.29,6.47,0.61,-0.86,0.51,2.29,38.05,0.72,Even
3.16,-4.8,-1.64,7.96,-15.17,-0.66,-1.00,-0.07,-1.00,0.32,-1.00,Odd
4.42,-0.35,4.07,4.77,-1.55,-12.63,-0.80,-0.60,2.02,16.80,0.61,Odd
-1.35,-1.45,-2.80,0.10,1.96,0.93,-0.33,-0.94,-1.00,0.14,-1.00,Even
8.54,-2.02,6.52,10.56,-17.25,-4.23,0.23,0.97,2.55,91.77,0.81,Odd
-2.94,-1.84,-4.78,-1.10,5.41,1.60,1.00,0.07,-1.00,0.04,-1.00,Even
8.66,-7.47,1.19,16.13,-64.69,-1.16,0.93,0.37,1.09,2.28,0.08,Even
-2.04,9.95,7.91,-11.99,-20.30,-0.21,1.00,-0.06,2.81,240.52,0.90,Even
1.55,-3.09,-1.54,4.64,-4.79,-0.50,-1.00,0.03,-1.00,0.34,-1.00,Odd
-3.47,-9.46,-12.93,5.99,32.83,0.37,-0.36,0.93,-1.00,0.00,-1.00,Even
1.73,-1.47,0.26,3.20,-2.54,-1.18,0.26,0.97,0.51,1.20,-0.59,Odd
-0.25,-2.43,-2.68,2.18,0.61,0.10,-0.45,-0.90,-1.00,0.16,-1.00,Even
-2.57,-3.38,-5.95,0.81,8.69,0.76,0.33,0.95,-1.00,0.02,-1.00,Odd
7.47,-9.89,-2.42,17.36,-73.88,-0.76,-0.66,-0.75,-1.00,0.19,-1.00,Even
-1.96,-5.25,-7.21,3.29,10.29,0.37,-0.80,0.60,-1.00,0.01,-1.00,Odd
9.4,-4.15,5.25,13.55,-39.01,-2.27,-0.86,0.51,2.29,38.05,0.72,Even
-6.88,8.17,1.29,-15.05,-56.21,-0.84,0.96,0.28,1.14,2.45,0.11,Even
2.44,2.42,4.86,0.02,5.90,1.01,-0.99,0.15,2.20,29.04,0.69,Odd
7.14,8.1,15.24,-0.96,57.83,0.88,0.45,-0.89,3.90,38698.77,1.18,Even
-1.95,5.53,3.58,-7.48,-10.78,-0.35,-0.42,-0.91,1.89,11.96,0.55,Even
5.11,6.71,11.82,-1.60,34.29,0.76,-0.68,0.73,3.44,3615.55,1.07,Even
-3.82,4.67,0.85,-8.49,-17.84,-0.82,0.75,0.66,0.92,1.80,-0.07,Odd
-5.47,7.54,2.07,-13.01,-41.24,-0.73,0.88,-0.48,1.44,4.20,0.32,Odd
-4.03,2.17,-1.86,-6.20,-8.75,-1.86,-0.96,-0.29,-1.00,0.28,-1.00,Odd
1.07,8.92,9.99,-7.85,9.54,0.12,-0.54,-0.84,3.16,1016.93,1.00,Even
7.37,-2.19,5.18,9.56,-16.14,-3.37,-0.89,0.45,2.28,36.25,0.71,Even
-3.99,-6.84,-10.83,2.85,27.29,0.58,0.99,-0.16,-1.00,0.00,-1.00,Even
8.15,-4.03,4.12,12.18,-32.84,-2.02,-0.83,-0.56,2.03,17.39,0.61,Odd
9.24,-6.45,2.79,15.69,-59.60,-1.43,0.34,-0.94,1.67,6.92,0.45,Odd
-6.93,9.73,2.80,-16.66,-67.43,-0.71,0.33,-0.94,1.67,6.96,0.45,Odd
-3.19,0.38,-2.81,-3.57,-1.21,-8.39,-0.33,-0.95,-1.00,0.14,-1.00,Even
-5.52,6.7,1.18,-12.22,-36.98,-0.82,0.92,0.38,1.09,2.27,0.07,Even
-9.13,7.67,-1.46,-16.80,-70.03,-1.19,-0.99,0.11,-1.00,0.36,-1.00,Odd
-8.98,1.56,-7.42,-10.54,-14.01,-5.76,-0.91,0.42,-1.00,0.01,-1.00,Odd
3.19,5.56,8.75,-2.37,17.74,0.57,0.62,-0.78,2.96,430.54,0.94,Odd
5.65,-9.52,-3.87,15.17,-53.79,-0.59,0.67,-0.75,-1.00,0.07,-1.00,Odd
8.53,9.35,17.88,-0.82,79.76,0.91,-0.82,0.57,4.23,241221.67,1.25,Even
4.24,9.34,13.58,-5.10,39.60,0.45,0.85,0.53,3.69,12245.81,1.13,Even
4.34,-6.6,-2.26,10.94,-28.64,-0.66,-0.77,-0.64,-1.00,0.21,-1.00,Even
1.64,-0.96,0.68,2.60,-1.57,-1.71,0.63,0.78,0.82,1.60,-0.17,Odd
-8.38,4.9,-3.48,-13.28,-41.06,-1.71,0.33,-0.94,-1.00,0.09,-1.00,Odd
2.32,4.06,6.38,-1.74,9.42,0.57,0.10,1.00,2.53,83.29,0.80,Odd
-6.94,7.54,0.60,-14.48,-52.33,-0.92,0.56,0.83,0.77,1.52,-0.22,Odd
9.84,3.56,13.40,6.28,35.03,2.76,0.74,0.67,3.66,10809.41,1.13,Even
-8.28,9.74,1.46,-18.02,-80.65,-0.85,0.99,0.11,1.21,2.75,0.16,Even
-9.75,4.47,-5.28,-14.22,-43.58,-2.18,0.84,0.54,-1.00,0.03,-1.00,Odd
-4.45,1.03,-3.42,-5.48,-4.58,-4.32,0.27,-0.96,-1.00,0.09,-1.00,Odd
7.32,9.27,16.59,-1.95,67.86,0.79,-0.77,-0.64,4.07,98647.85,1.22,Odd
-6.54,-1.93,-8.47,-4.61,12.62,3.39,-0.82,-0.58,-1.00,0.00,-1.00,Even
-1.57,1.53,-0.04,-3.10,-2.40,-1.03,-0.04,1.00,-1.00,0.97,-1.00,Even
5.02,2.34,7.36,2.68,11.75,2.15,0.88,0.47,2.71,164.28,0.87,Even
8.54,9.11,17.65,-0.57,77.80,0.94,-0.93,0.36,4.20,205674.01,1.25,Even
-0.22,0.51,0.29,-0.73,-0.11,-0.43,0.29,0.96,0.54,1.22,-0.54,Odd
-3.81,3.76,-0.05,-7.57,-14.33,-1.01,-0.05,1.00,-1.00,0.97,-1.00,Even
-6.21,8.57,2.36,-14.78,-53.22,-0.72,0.70,-0.71,1.54,5.13,0.37,Odd
-0.46,-8.57,-9.03,8.11,3.94,0.05,-0.38,-0.92,-1.00,0.00,-1.00,Odd
-2.63,3.71,1.08,-6.34,-9.76,-0.71,0.88,0.47,1.04,2.11,0.03,Even
9.61,1.52,11.13,8.09,14.61,6.32,-0.99,0.13,3.34,2241.11,1.05,Even
8.41,6.27,14.68,2.14,52.73,1.34,0.86,-0.52,3.83,26249.46,1.17,Odd
-0.67,-3.95,-4.62,3.28,2.65,0.17,1.00,-0.09,-1.00,0.04,-1.00,Even
4.12,3.16,7.28,0.96,13.02,1.30,0.84,0.54,2.70,155.42,0.86,Even
-8.08,-6.92,-15.00,-1.16,55.91,1.17,-0.65,-0.76,-1.00,0.00,-1.00,Odd
0.65,-6.54,-5.89,7.19,-4.25,-0.10,0.38,0.92,-1.00,0.02,-1.00,Odd
5.59,6.85,12.44,-1.26,38.29,0.82,-0.13,0.99,3.53,5556.65,1.09,Odd
4.49,0.06,4.55,4.43,0.27,74.83,-0.99,-0.16,2.13,23.43,0.66,Odd
0.83,-1.22,-0.39,2.05,-1.01,-0.68,-0.38,0.92,-1.00,0.76,-1.00,Even
3.42,-5.29,-1.87,8.71,-18.09,-0.65,-0.96,-0.29,-1.00,0.27,-1.00,Odd
-1.54,-9.35,-10.89,7.81,14.40,0.16,0.99,-0.11,-1.00,0.00,-1.00,Even
7.67,-4.75,2.92,12.42,-36.43,-1.61,0.22,-0.98,1.71,7.57,0.47,Odd
-6.17,6.26,0.09,-12.43,-38.62,-0.99,0.09,1.00,0.30,1.06,-1.05,Odd
-5.68,3.71,-1.97,-9.39,-21.07,-1.53,-0.92,-0.39,-1.00,0.26,-1.00,Odd
-0.84,6.83,5.99,-7.67,-5.74,-0.12,-0.29,0.96,2.45,63.56,0.78,Even
5.2,-4.44,0.76,9.64,-23.09,-1.17,0.69,0.72,0.87,1.69,-0.12,Odd
-0.12,3.53,3.41,-3.65,-0.42,-0.03,-0.27,-0.96,1.85,10.63,0.53,Even
-0.31,7.01,6.70,-7.32,-2.17,-0.04,0.40,0.91,2.59,103.97,0.83,Odd
2.4,2.57,4.97,-0.17,6.17,0.93,-0.97,0.25,2.23,31.34,0.70,Odd
-6.89,8.65,1.76,-15.54,-59.60,-0.80,0.98,-0.19,1.33,3.39,0.25,Even
4.66,-5.31,-0.65,9.97,-24.74,-0.88,-0.61,0.80,-1.00,0.64,-1.00,Even
5.06,-5.31,-0.25,10.37,-26.87,-0.95,-0.25,0.97,-1.00,0.84,-1.00,Even
-0.23,0.73,0.50,-0.96,-0.17,-0.32,0.48,0.88,0.71,1.41,-0.30,Odd
-5.93,8.46,2.53,-14.39,-50.17,-0.70,0.57,-0.82,1.59,5.78,0.40,Odd
-0.73,2.42,1.69,-3.15,-1.77,-0.30,0.99,-0.12,1.30,3.23,0.23,Even
3.94,-3.01,0.93,6.95,-11.86,-1.31,0.80,0.60,0.96,1.91,-0.03,Odd
1.8,-2.94,-1.14,4.74,-5.29,-0.61,-0.91,0.42,-1.00,0.45,-1.00,Odd
8.49,-3.44,5.05,11.93,-29.21,-2.47,-0.94,0.33,2.25,33.13,0.70,Even
5.56,0.91,6.47,4.65,5.06,6.11,0.19,0.98,2.54,88.65,0.81,Odd
1.3,-7.86,-6.56,9.16,-10.22,-0.17,-0.27,0.96,-1.00,0.01,-1.00,Even
-2.34,-1.47,-3.81,-0.87,3.44,1.59,0.62,-0.78,-1.00,0.07,-1.00,Odd
6.51,-4.97,1.54,11.48,-32.35,-1.31,1.00,0.03,1.24,2.91,0.19,Even
2.11,-2.82,-0.71,4.93,-5.95,-0.75,-0.65,0.76,-1.00,0.61,-1.00,Even
-6.97,0.38,-6.59,-7.35,-2.65,-18.34,-0.30,0.95,-1.00,0.01,-1.00,Even
-7.76,9.74,1.98,-17.50,-75.58,-0.80,0.92,-0.40,1.41,3.94,0.30,Even
6.06,0.01,6.07,6.05,0.06,606.00,-0.21,0.98,2.46,67.18,0.78,Odd
-0.1,-4.85,-4.95,4.75,0.49,0.02,0.97,0.24,-1.00,0.03,-1.00,Even
-6.65,-5.75,-12.40,-0.90,38.24,1.16,0.17,0.99,-1.00,0.00,-1.00,Even
-4.58,-8.73,-13.31,4.15,39.98,0.52,-0.68,0.74,-1.00,0.00,-1.00,Odd
-4.74,-5.94,-10.68,1.20,28.16,0.80,0.95,-0.31,-1.00,0.00,-1.00,Even
9.42,-1.18,8.24,10.60,-11.12,-7.98,0.93,-0.38,2.87,302.33,0.92,Odd
-8.22,3.73,-4.49,-11.95,-30.66,-2.20,0.98,-0.22,-1.00,0.04,-1.00,Even
-4.82,6.69,1.87,-11.51,-32.25,-0.72,0.96,-0.29,1.37,3.66,0.27,Even
-7.99,4.42,-3.57,-12.41,-35.32,-1.81,0.42,-0.91,-1.00,0.08,-1.00,Odd
-5.36,-6.01,-11.37,0.65,32.21,0.89,0.93,0.37,-1.00,0.00,-1.00,Odd
-8.08,2.45,-5.63,-10.53,-19.80,-3.30,0.61,0.79,-1.00,0.02,-1.00,Odd
-1.51,-1.99,-3.50,0.48,3.00,0.76,0.35,-0.94,-1.00,0.09,-1.00,Odd
0.19,8.23,8.42,-8.04,1.56,0.02,0.84,-0.54,2.90,342.51,0.93,Odd
-2.25,-4.27,-6.52,2.02,9.61,0.53,-0.23,0.97,-1.00,0.01,-1.00,Even
1.8,3.96,5.76,-2.16,7.13,0.45,-0.50,0.87,2.40,54.19,0.76,Even
4.19,2.93,7.12,1.26,12.28,1.43,0.74,0.67,2.67,139.10,0.85,Even
5.8,-1.05,4.75,6.85,-6.09,-5.52,-1.00,0.04,2.18,26.91,0.68,Odd
-7.31,-0.27,-7.58,-7.04,1.97,27.07,-0.96,0.27,-1.00,0.01,-1.00,Odd
3.49,4.39,7.88,-0.90,15.32,0.79,1.00,-0.03,2.81,235.57,0.90,Even
6.02,2.76,8.78,3.26,16.62,2.18,0.60,-0.80,2.96,439.59,0.94,Odd
-1.39,-5.5,-6.89,4.11,7.65,0.25,-0.57,0.82,-1.00,0.01,-1.00,Even
7.33,0.96,8.29,6.37,7.04,7.64,0.91,-0.42,2.88,313.00,0.92,Odd
-7.96,-3.54,-11.50,-4.42,28.18,2.25,0.88,0.48,-1.00,0.00,-1.00,Odd
6.58,-9.91,-3.33,16.49,-65.21,-0.66,0.19,-0.98,-1.00,0.10,-1.00,Odd
1.09,6.09,7.18,-5.00,6.64,0.18,0.78,0.62,2.68,145.01,0.86,Even
-7.74,-0.26,-8.00,-7.48,2.01,29.77,-0.99,-0.15,-1.00,0.00,-1.00,Even
-3.62,-3.41,-7.03,-0.21,12.34,1.06,-0.68,0.73,-1.00,0.01,-1.00,Odd
-0.52,-2.02,-2.54,1.50,1.05,0.26,-0.57,-0.82,-1.00,0.17,-1.00,Even
-7.96,-2.68,-10.64,-5.28,21.33,2.97,0.94,-0.35,-1.00,0.00,-1.00,Even
-9.39,3.41,-5.98,-12.80,-32.02,-2.75,0.30,0.95,-1.00,0.02,-1.00,Odd
-1.35,8.48,7.13,-9.83,-11.45,-0.16,0.75,0.66,2.67,140.07,0.85,Even
0.02,-9.4,-9.38,9.42,-0.19,0.00,-0.04,-1.00,-1.00,0.00,-1.00,Odd
-9.66,9.08,-0.58,-18.74,-87.71,-1.06,-0.55,0.84,-1.00,0.67,-1.00,Even
7.21,7.53,14.74,-0.32,54.29,0.96,0.82,-0.57,3.84,27364.16,1.17,Odd
-5.95,3.5,-2.45,-9.45,-20.83,-1.70,-0.64,-0.77,-1.00,0.18,-1.00,Even
8.71,8.63,17.34,0.08,75.17,1.01,-1.00,0.06,4.16,165905.25,1.24,Even
7.79,-4.3,3.49,12.09,-33.50,-1.81,-0.34,-0.94,1.87,11.24,0.54,Even
-8.17,2.67,-5.50,-10.84,-21.81,-3.06,0.71,0.71,-1.00,0.02,-1.00,Odd
-4.64,-3.1,-7.74,-1.54,14.38,1.50,-0.99,0.11,-1.00,0.00,-1.00,Odd
4.29,5.16,9.45,-0.87,22.14,0.83,-0.03,-1.00,3.07,699.41,0.98,Even
-4.18,-0.68,-4.86,-3.50,2.84,6.15,0.99,0.15,-1.00,0.03,-1.00,Even
2.53,-3.6,-1.07,6.13,-9.11,-0.70,-0.88,0.48,-1.00,0.48,-1.00,Odd
-6.42,-9.72,-16.14,3.30,62.40,0.66,0.42,-0.91,-1.00,0.00,-1.00,Even
4.88,9.05,13.93,-4.17,44.16,0.54,0.98,0.21,3.73,15608.02,1.14,Even
6.88,-9.93,-3.05,16.81,-68.32,-0.69,-0.09,-1.00,-1.00,0.12,-1.00,Odd
5.95,-5.59,0.36,11.54,-33.26,-1.06,0.35,0.94,0.60,1.28,-0.44,Odd
2.91,-6.7,-3.79,9.61,-19.50,-0.43,0.60,-0.80,-1.00,0.07,-1.00,Odd
-9.97,6.9,-3.07,-16.87,-68.79,-1.44,-0.07,-1.00,-1.00,0.12,-1.00,Odd
2.33,-4.02,-1.69,6.35,-9.37,-0.58,-0.99,-0.12,-1.00,0.31,-1.00,Odd
-8.33,-5.65,-13.98,-2.68,47.06,1.47,-0.99,0.16,-1.00,0.00,-1.00,Odd
-0.16,-7.45,-7.61,7.29,1.19,0.02,-0.97,0.24,-1.00,0.01,-1.00,Odd
9.36,-9.33,0.03,18.69,-87.33,-1.00,0.03,1.00,0.17,1.02,-1.52,Odd
-5.65,-7.52,-13.17,1.87,42.49,0.75,-0.57,0.82,-1.00,0.00,-1.00,Odd
6.87,-3.54,3.33,10.41,-24.32,-1.94,-0.19,-0.98,1.82,10.06,0.52,Even
-2.51,3.59,1.08,-6.10,-9.01,-0.70,0.88,0.47,1.04,2.11,0.03,Even
2.41,-1.16,1.25,3.57,-2.80,-2.08,0.95,0.32,1.12,2.38,0.10,Even
3.26,1.65,4.91,1.61,5.38,1.98,-0.98,0.20,2.22,30.06,0.69,Odd
6.01,-6.72,-0.71,12.73,-40.39,-0.89,-0.65,0.76,-1.00,0.61,-1.00,Even
4.83,-4.62,0.21,9.45,-22.31,-1.05,0.21,0.98,0.46,1.16,-0.68,Odd
5,0.73,5.73,4.27,3.65,6.85,-0.53,0.85,2.39,53.08,0.76,Even
-3.93,-6.38,-10.31,2.45,25.07,0.62,0.77,-0.63,-1.00,0.00,-1.00,Even
-8.08,3.04,-5.04,-11.12,-24.56,-2.66,0.95,0.32,-1.00,0.03,-1.00,Odd
-6.7,2.45,-4.25,-9.15,-16.42,-2.73,0.89,-0.45,-1.00,0.05,-1.00,Even
-4.69,5.68,0.99,-10.37,-26.64,-0.83,0.84,0.55,0.99,1.99,0.00,Odd
6.95,4.35,11.30,2.60,30.23,1.60,-0.95,0.30,3.36,2521.38,1.05,Even
4.51,9.06,13.57,-4.55,40.86,0.50,0.84,0.54,3.68,12161.22,1.13,Even
4.24,0.74,4.98,3.50,3.14,5.73,-0.96,0.26,2.23,31.56,0.70,Odd
9.04,-9.43,-0.39,18.47,-85.25,-0.96,-0.38,0.92,-1.00,0.76,-1.00,Even
2.07,-9.46,-7.39,11.53,-19.58,-0.22,-0.89,0.45,-1.00,0.01,-1.00,Odd
1.33,-0.86,0.47,2.19,-1.14,-1.55,0.45,0.89,0.69,1.39,-0.33,Odd
-2.81,-1.63,-4.44,-1.18,4.58,1.72,0.96,-0.27,-1.00,0.05,-1.00,Even
-6.91,7.99,1.08,-14.90,-55.21,-0.86,0.88,0.47,1.04,2.11,0.03,Even
-7.63,5.11,-2.52,-12.74,-38.99,-1.49,-0.58,-0.81,-1.00,0.17,-1.00,Even
-5.66,1.04,-4.62,-6.70,-5.89,-5.44,1.00,-0.09,-1.00,0.04,-1.00,Even
0.07,-1.28,-1.21,1.35,-0.09,-0.05,-0.94,0.35,-1.00,0.43,-1.00,Odd
-9.96,-2.55,-12.51,-7.41,25.40,3.91,0.06,1.00,-1.00,0.00,-1.00,Even
7.26,0.39,7.65,6.87,2.83,18.62,0.98,0.20,2.77,200.85,0.88,Even
7.03,5.08,12.11,1.95,35.71,1.38,-0.44,0.90,3.48,4420.52,1.08,Odd
-7.85,2.45,-5.40,-10.30,-19.23,-3.20,0.77,0.63,-1.00,0.02,-1.00,Odd
7.02,1.28,8.30,5.74,8.99,5.48,0.90,-0.43,2.88,315.17,0.92,Odd
1.78,6.03,7.81,-4.25,10.73,0.30,1.00,0.04,2.79,224.41,0.89,Even
-6.9,2.33,-4.57,-9.23,-16.08,-2.96,0.99,-0.14,-1.00,0.04,-1.00,Even
0.15,-0.28,-0.13,0.43,-0.04,-0.54,-0.13,0.99,-1.00,0.91,-1.00,Even
5.04,-9.19,-4.15,14.23,-46.32,-0.55,0.85,-0.53,-1.00,0.06,-1.00,Even
-7.1,4.41,-2.69,-11.51,-31.31,-1.61,-0.44,-0.90,-1.00,0.15,-1.00,Even
-9.38,-9.3,-18.68,-0.08,87.23,1.01,0.17,0.99,-1.00,0.00,-1.00,Even
4.03,3.92,7.95,0.11,15.80,1.03,1.00,-0.10,2.82,247.28,0.90,Even
2.07,-7.33,-5.26,9.40,-15.17,-0.28,0.85,0.52,-1.00,0.03,-1.00,Odd
5.9,-0.77,5.13,6.67,-4.54,-7.66,-0.91,0.41,2.26,35.02,0.71,Even
0.49,-2.24,-1.75,2.73,-1.10,-0.22,-0.98,-0.18,-1.00,0.30,-1.00,Odd
5.19,0.36,5.55,4.83,1.87,14.42,-0.67,0.74,2.36,46.85,0.74,Even
1.7,0.99,2.69,0.71,1.68,1.72,0.44,-0.90,1.64,6.45,0.43,Odd
0.48,0.9,1.38,-0.42,0.43,0.53,0.98,0.19,1.17,2.60,0.14,Even
4.91,-8.05,-3.14,12.96,-39.53,-0.61,0.00,-1.00,-1.00,0.11,-1.00,Odd
-1.26,-8.97,-10.23,7.71,11.30,0.14,0.72,-0.69,-1.00,0.00,-1.00,Even
2.16,-7.02,-4.86,9.18,-15.16,-0.31,0.99,0.15,-1.00,0.03,-1.00,Even
9.7,2.06,11.76,7.64,19.98,4.71,-0.72,0.69,3.43,3468.27,1.07,Even
6.85,7.2,14.05,-0.35,49.32,0.95,1.00,0.09,3.75,16961.78,1.15,Odd
-4.9,7.69,2.79,-12.59,-37.68,-0.64,0.34,-0.94,1.67,6.92,0.45,Odd
-8.92,-3.92,-12.84,-5.00,34.97,2.28,-0.27,0.96,-1.00,0.00,-1.00,Even
-7.07,-9.49,-16.56,2.42,67.09,0.74,0.75,-0.66,-1.00,0.00,-1.00,Even
-3.14,8.27,5.13,-11.41,-25.97,-0.38,-0.91,0.41,2.26,35.02,0.71,Even
-1.49,-5.84,-7.33,4.35,8.70,0.26,-0.87,0.50,-1.00,0.01,-1.00,Odd
-4.43,3.45,-0.98,-7.88,-15.28,-1.28,-0.83,0.56,-1.00,0.51,-1.00,Even
-2.84,9.02,6.18,-11.86,-25.62,-0.31,-0.10,0.99,2.49,72.50,0.79,Odd
2.18,8.3,10.48,-6.12,18.09,0.26,-0.87,-0.49,3.24,1428.22,1.02,Odd
-9.09,-5.75,-14.84,-3.34,52.27,1.58,-0.76,-0.65,-1.00,0.00,-1.00,Even
0.38,-2.62,-2.24,3.00,-1.00,-0.15,-0.78,-0.62,-1.00,0.21,-1.00,Even
-0.85,-8.04,-8.89,7.19,6.83,0.11,-0.51,-0.86,-1.00,0.00,-1.00,Even
-7.09,0.97,-6.12,-8.06,-6.88,-7.31,0.16,0.99,-1.00,0.01,-1.00,Even
7.48,0.27,7.75,7.21,2.02,27.70,0.99,0.10,2.78,215.27,0.89,Even
-0.47,-6.83,-7.30,6.36,3.21,0.07,-0.85,0.53,-1.00,0.01,-1.00,Odd
-3.32,0.75,-2.57,-4.07,-2.49,-4.43,-0.54,-0.84,-1.00,0.17,-1.00,Even
4.85,6.91,11.76,-2.06,33.51,0.70,-0.72,0.69,3.43,3468.27,1.07,Even
-9.78,-3.23,-13.01,-6.55,31.59,3.03,-0.43,0.90,-1.00,0.00,-1.00,Odd
2.78,8.93,11.71,-6.15,24.83,0.31,-0.76,0.66,3.42,3350.13,1.07,Even
4.98,1.28,6.26,3.70,6.37,3.89,-0.02,1.00,2.50,76.64,0.80,Odd
-5.91,7.42,1.51,-13.33,-43.85,-0.80,1.00,0.06,1.23,2.85,0.18,Even
0.18,0.76,0.94,-0.58,0.14,0.24,0.81,0.59,0.97,1.92,-0.03,Odd
1.85,-6.83,-4.98,8.68,-12.64,-0.27,0.96,0.26,-1.00,0.03,-1.00,Even
-5.2,2.68,-2.52,-7.88,-13.94,-1.94,-0.58,-0.81,-1.00,0.17,-1.00,Even
1.75,0.55,2.30,1.20,0.96,3.18,0.75,-0.67,1.52,4.92,0.36,Odd
2.68,4.23,6.91,-1.55,11.34,0.63,0.59,0.81,2.63,120.26,0.84,Odd
-6.08,-8,-14.08,1.92,48.64,0.76,-1.00,0.06,-1.00,0.00,-1.00,Even
-0.08,5.07,4.99,-5.15,-0.41,-0.02,-0.96,0.27,2.23,31.78,0.70,Odd
-5.85,-7.08,-12.93,1.23,41.42,0.83,-0.36,0.93,-1.00,0.00,-1.00,Even
5.93,-0.2,5.73,6.13,-1.19,-29.65,-0.53,0.85,2.39,53.08,0.76,Even
-1.89,0.54,-1.35,-2.43,-1.02,-3.50,-0.98,0.22,-1.00,0.39,-1.00,Odd
-6.5,-3.3,-9.80,-3.20,21.45,1.97,0.37,-0.93,-1.00,0.00,-1.00,Odd
1.77,4.82,6.59,-3.05,8.53,0.37,0.30,0.95,2.57,96.34,0.82,Odd
-1.81,6.32,4.51,-8.13,-11.44,-0.29,-0.98,-0.20,2.12,22.78,0.65,Odd
0.11,-6.84,-6.73,6.95,-0.75,-0.02,-0.43,0.90,-1.00,0.01,-1.00,Even
5.2,-9.15,-3.95,14.35,-47.58,-0.57,0.72,-0.69,-1.00,0.06,-1.00,Odd
3.24,7.39,10.63,-4.15,23.94,0.44,-0.93,-0.36,3.26,1584.71,1.03,Odd
